"","taxa","localityID","count","region","genus","site","phylum","method","pa","num_samples","num_samples_found","prop_samples_found","primer"
"1","Actinia equina","CN01",5.000004343,"Southwest England","Actinia","Lizard Point","Cnidaria","Visual",1,NA,NA,NA,NA
"2","Actinia equina","CN02",5.000004343,"Southwest England","Actinia","Sennen Cove","Cnidaria","Visual",1,NA,NA,NA,NA
"3","Actinia equina","CN03",3.000434077,"Southwest England","Actinia","Looe","Cnidaria","Visual",1,NA,NA,NA,NA
"4","Actinia equina","CN04",3.000434077,"Southwest England","Actinia","St Ives","Cnidaria","Visual",1,NA,NA,NA,NA
"5","Actinia equina","CN05",2.004321374,"Southwest England","Actinia","Trevone","Cnidaria","Visual",1,NA,NA,NA,NA
"6","Actinia equina","NE01",4.000043427,"Northeast England","Actinia","Filey Brigg","Cnidaria","Visual",1,NA,NA,NA,NA
"7","Actinia equina","NE02",4.000043427,"Northeast England","Actinia","Scalby Mills","Cnidaria","Visual",1,NA,NA,NA,NA
"8","Actinia equina","NE03",5.000004343,"Northeast England","Actinia","Rumbling Kern","Cnidaria","Visual",1,NA,NA,NA,NA
"9","Actinia equina","NE04",0,"Northeast England","Actinia","Newton Point","Cnidaria","Visual",0,NA,NA,NA,NA
"10","Actinia equina","NE05",3.000434077,"Northeast England","Actinia","Castlehead Rocks","Cnidaria","Visual",1,NA,NA,NA,NA
"11","Actinia equina","NW01",4.000043427,"North Wales","Actinia","Little Orme","Cnidaria","Visual",1,NA,NA,NA,NA
"12","Actinia equina","NW02",3.000434077,"North Wales","Actinia","Great Orme East","Cnidaria","Visual",1,NA,NA,NA,NA
"13","Actinia equina","NW03",0,"North Wales","Actinia","Menai Bridge","Cnidaria","Visual",0,NA,NA,NA,NA
"14","Actinia equina","NW04",3.000434077,"North Wales","Actinia","Porth Swtan","Cnidaria","Visual",1,NA,NA,NA,NA
"15","Actinia equina","NW05",0,"North Wales","Actinia","Rhosneigr","Cnidaria","Visual",0,NA,NA,NA,NA
"16","Actinia equina","NW06",5.000004343,"North Wales","Actinia","Porth Oer","Cnidaria","Visual",1,NA,NA,NA,NA
"17","Actinia equina","SCH01",4.000043427,"Scotland","Actinia","Scourie","Cnidaria","Visual",1,NA,NA,NA,NA
"18","Actinia equina","SCH02",3.000434077,"Scotland","Actinia","Rispond","Cnidaria","Visual",1,NA,NA,NA,NA
"19","Actinia equina","SCH03",3.000434077,"Scotland","Actinia","Skerray","Cnidaria","Visual",1,NA,NA,NA,NA
"20","Actinia equina","SCH04",3.000434077,"Scotland","Actinia","Murkle Bay","Cnidaria","Visual",1,NA,NA,NA,NA
"21","Actinia equina","SCH05",3.000434077,"Scotland","Actinia","Portskerra","Cnidaria","Visual",1,NA,NA,NA,NA
"22","Actinia equina","SCH07",2.004321374,"Scotland","Actinia","Sannick","Cnidaria","Visual",1,NA,NA,NA,NA
"23","Actinia equina","SCH08",4.000043427,"Scotland","Actinia","Wick","Cnidaria","Visual",1,NA,NA,NA,NA
"24","Actinia equina","SW01",3.000434077,"South Wales","Actinia","Aberystwyth","Cnidaria","Visual",1,NA,NA,NA,NA
"25","Actinia equina","SW02",0,"South Wales","Actinia","Neyland","Cnidaria","Visual",0,NA,NA,NA,NA
"26","Actinia equina","SW03",5.000004343,"South Wales","Actinia","Broad Haven","Cnidaria","Visual",1,NA,NA,NA,NA
"27","Actinia equina","SW05",3.000434077,"South Wales","Actinia","West Angle","Cnidaria","Visual",1,NA,NA,NA,NA
"28","Actinia equina","SW06",4.000043427,"South Wales","Actinia","Monkstone Point","Cnidaria","Visual",1,NA,NA,NA,NA
"29","Actinia equina","SW07",2.004321374,"South Wales","Actinia","Dale Jetty","Cnidaria","Visual",1,NA,NA,NA,NA
"30","Actinia fragacea","CN01",0,"Southwest England","Actinia","Lizard Point","Cnidaria","Visual",0,NA,NA,NA,NA
"31","Actinia fragacea","CN02",0,"Southwest England","Actinia","Sennen Cove","Cnidaria","Visual",0,NA,NA,NA,NA
"32","Actinia fragacea","CN03",0,"Southwest England","Actinia","Looe","Cnidaria","Visual",0,NA,NA,NA,NA
"33","Actinia fragacea","CN04",0,"Southwest England","Actinia","St Ives","Cnidaria","Visual",0,NA,NA,NA,NA
"34","Actinia fragacea","CN05",0,"Southwest England","Actinia","Trevone","Cnidaria","Visual",0,NA,NA,NA,NA
"35","Actinia fragacea","NE01",0,"Northeast England","Actinia","Filey Brigg","Cnidaria","Visual",0,NA,NA,NA,NA
"36","Actinia fragacea","NE02",0,"Northeast England","Actinia","Scalby Mills","Cnidaria","Visual",0,NA,NA,NA,NA
"37","Actinia fragacea","NE03",0,"Northeast England","Actinia","Rumbling Kern","Cnidaria","Visual",0,NA,NA,NA,NA
"38","Actinia fragacea","NE04",0,"Northeast England","Actinia","Newton Point","Cnidaria","Visual",0,NA,NA,NA,NA
"39","Actinia fragacea","NE05",0,"Northeast England","Actinia","Castlehead Rocks","Cnidaria","Visual",0,NA,NA,NA,NA
"40","Actinia fragacea","NW01",0,"North Wales","Actinia","Little Orme","Cnidaria","Visual",0,NA,NA,NA,NA
"41","Actinia fragacea","NW02",0,"North Wales","Actinia","Great Orme East","Cnidaria","Visual",0,NA,NA,NA,NA
"42","Actinia fragacea","NW03",0,"North Wales","Actinia","Menai Bridge","Cnidaria","Visual",0,NA,NA,NA,NA
"43","Actinia fragacea","NW04",0,"North Wales","Actinia","Porth Swtan","Cnidaria","Visual",0,NA,NA,NA,NA
"44","Actinia fragacea","NW05",0,"North Wales","Actinia","Rhosneigr","Cnidaria","Visual",0,NA,NA,NA,NA
"45","Actinia fragacea","NW06",0,"North Wales","Actinia","Porth Oer","Cnidaria","Visual",0,NA,NA,NA,NA
"46","Actinia fragacea","SCH01",0,"Scotland","Actinia","Scourie","Cnidaria","Visual",0,NA,NA,NA,NA
"47","Actinia fragacea","SCH02",0,"Scotland","Actinia","Rispond","Cnidaria","Visual",0,NA,NA,NA,NA
"48","Actinia fragacea","SCH03",0,"Scotland","Actinia","Skerray","Cnidaria","Visual",0,NA,NA,NA,NA
"49","Actinia fragacea","SCH04",0,"Scotland","Actinia","Murkle Bay","Cnidaria","Visual",0,NA,NA,NA,NA
"50","Actinia fragacea","SCH05",0,"Scotland","Actinia","Portskerra","Cnidaria","Visual",0,NA,NA,NA,NA
"51","Actinia fragacea","SCH07",0,"Scotland","Actinia","Sannick","Cnidaria","Visual",0,NA,NA,NA,NA
"52","Actinia fragacea","SCH08",0,"Scotland","Actinia","Wick","Cnidaria","Visual",0,NA,NA,NA,NA
"53","Actinia fragacea","SW01",1.041392685,"South Wales","Actinia","Aberystwyth","Cnidaria","Visual",1,NA,NA,NA,NA
"54","Actinia fragacea","SW02",0,"South Wales","Actinia","Neyland","Cnidaria","Visual",0,NA,NA,NA,NA
"55","Actinia fragacea","SW03",0,"South Wales","Actinia","Broad Haven","Cnidaria","Visual",0,NA,NA,NA,NA
"56","Actinia fragacea","SW05",0,"South Wales","Actinia","West Angle","Cnidaria","Visual",0,NA,NA,NA,NA
"57","Actinia fragacea","SW06",0,"South Wales","Actinia","Monkstone Point","Cnidaria","Visual",0,NA,NA,NA,NA
"58","Actinia fragacea","SW07",0,"South Wales","Actinia","Dale Jetty","Cnidaria","Visual",0,NA,NA,NA,NA
"59","Alaria esculenta","CN01",6.022367813,"Southwest England","Alaria","Lizard Point","Ochrophyta","Visual",1,NA,NA,NA,NA
"60","Alaria esculenta","CN02",2.321928095,"Southwest England","Alaria","Sennen Cove","Ochrophyta","Visual",1,NA,NA,NA,NA
"61","Alaria esculenta","CN03",0,"Southwest England","Alaria","Looe","Ochrophyta","Visual",0,NA,NA,NA,NA
"62","Alaria esculenta","CN04",2.321928095,"Southwest England","Alaria","St Ives","Ochrophyta","Visual",1,NA,NA,NA,NA
"63","Alaria esculenta","CN05",0,"Southwest England","Alaria","Trevone","Ochrophyta","Visual",0,NA,NA,NA,NA
"64","Alaria esculenta","NE01",0,"Northeast England","Alaria","Filey Brigg","Ochrophyta","Visual",0,NA,NA,NA,NA
"65","Alaria esculenta","NE02",0,"Northeast England","Alaria","Scalby Mills","Ochrophyta","Visual",0,NA,NA,NA,NA
"66","Alaria esculenta","NE03",6.022367813,"Northeast England","Alaria","Rumbling Kern","Ochrophyta","Visual",1,NA,NA,NA,NA
"67","Alaria esculenta","NE04",7.011227255,"Northeast England","Alaria","Newton Point","Ochrophyta","Visual",1,NA,NA,NA,NA
"68","Alaria esculenta","NE05",6.022367813,"Northeast England","Alaria","Castlehead Rocks","Ochrophyta","Visual",1,NA,NA,NA,NA
"69","Alaria esculenta","NW01",0,"North Wales","Alaria","Little Orme","Ochrophyta","Visual",0,NA,NA,NA,NA
"70","Alaria esculenta","NW02",0,"North Wales","Alaria","Great Orme East","Ochrophyta","Visual",0,NA,NA,NA,NA
"71","Alaria esculenta","NW03",0,"North Wales","Alaria","Menai Bridge","Ochrophyta","Visual",0,NA,NA,NA,NA
"72","Alaria esculenta","NW04",0,"North Wales","Alaria","Porth Swtan","Ochrophyta","Visual",0,NA,NA,NA,NA
"73","Alaria esculenta","NW05",0,"North Wales","Alaria","Rhosneigr","Ochrophyta","Visual",0,NA,NA,NA,NA
"74","Alaria esculenta","NW06",4.087462841,"North Wales","Alaria","Porth Oer","Ochrophyta","Visual",1,NA,NA,NA,NA
"75","Alaria esculenta","SCH01",7.011227255,"Scotland","Alaria","Scourie","Ochrophyta","Visual",1,NA,NA,NA,NA
"76","Alaria esculenta","SCH02",0,"Scotland","Alaria","Rispond","Ochrophyta","Visual",0,NA,NA,NA,NA
"77","Alaria esculenta","SCH03",0,"Scotland","Alaria","Skerray","Ochrophyta","Visual",0,NA,NA,NA,NA
"78","Alaria esculenta","SCH04",0,"Scotland","Alaria","Murkle Bay","Ochrophyta","Visual",0,NA,NA,NA,NA
"79","Alaria esculenta","SCH05",0,"Scotland","Alaria","Portskerra","Ochrophyta","Visual",0,NA,NA,NA,NA
"80","Alaria esculenta","SCH07",0,"Scotland","Alaria","Sannick","Ochrophyta","Visual",0,NA,NA,NA,NA
"81","Alaria esculenta","SCH08",5.044394119,"Scotland","Alaria","Wick","Ochrophyta","Visual",1,NA,NA,NA,NA
"82","Alaria esculenta","SW01",0,"South Wales","Alaria","Aberystwyth","Ochrophyta","Visual",0,NA,NA,NA,NA
"83","Alaria esculenta","SW02",0,"South Wales","Alaria","Neyland","Ochrophyta","Visual",0,NA,NA,NA,NA
"84","Alaria esculenta","SW03",0,"South Wales","Alaria","Broad Haven","Ochrophyta","Visual",0,NA,NA,NA,NA
"85","Alaria esculenta","SW05",0,"South Wales","Alaria","West Angle","Ochrophyta","Visual",0,NA,NA,NA,NA
"86","Alaria esculenta","SW06",0,"South Wales","Alaria","Monkstone Point","Ochrophyta","Visual",0,NA,NA,NA,NA
"87","Alaria esculenta","SW07",0,"South Wales","Alaria","Dale Jetty","Ochrophyta","Visual",0,NA,NA,NA,NA
"88","Anemonia viridis","CN01",3.000434077,"Southwest England","Anemonia","Lizard Point","Cnidaria","Visual",1,NA,NA,NA,NA
"89","Anemonia viridis","CN02",1.041392685,"Southwest England","Anemonia","Sennen Cove","Cnidaria","Visual",1,NA,NA,NA,NA
"90","Anemonia viridis","CN03",2.004321374,"Southwest England","Anemonia","Looe","Cnidaria","Visual",1,NA,NA,NA,NA
"91","Anemonia viridis","CN04",4.000043427,"Southwest England","Anemonia","St Ives","Cnidaria","Visual",1,NA,NA,NA,NA
"92","Anemonia viridis","CN05",1.041392685,"Southwest England","Anemonia","Trevone","Cnidaria","Visual",1,NA,NA,NA,NA
"93","Anemonia viridis","NE01",0,"Northeast England","Anemonia","Filey Brigg","Cnidaria","Visual",0,NA,NA,NA,NA
"94","Anemonia viridis","NE02",0,"Northeast England","Anemonia","Scalby Mills","Cnidaria","Visual",0,NA,NA,NA,NA
"95","Anemonia viridis","NE03",0,"Northeast England","Anemonia","Rumbling Kern","Cnidaria","Visual",0,NA,NA,NA,NA
"96","Anemonia viridis","NE04",0,"Northeast England","Anemonia","Newton Point","Cnidaria","Visual",0,NA,NA,NA,NA
"97","Anemonia viridis","NE05",0,"Northeast England","Anemonia","Castlehead Rocks","Cnidaria","Visual",0,NA,NA,NA,NA
